CourseNo,slotID,RoomNo,Section,StudentGroup,Session
CSE4255,Sat10.30.7A07,7A07,A,3,2
CSE4255,Sat11.20.7A07,7A07,A,3,2
CSE4213,Sat12.10.7A07,7A07,A,3,2
CSE4214,Sat1.00.7B05,7B05,A,3,3
CSE4227,Sun1.00.7A07,7A07,A,3,3
CSE4213,Sun1.50.7A07,7A07,A,3,3
CSE4213,Sun2.40.7A07,7A07,A,3,3
CSE4203,Mon11.20.7C07,7C07,A,3,2
CSE4225,Mon1.50.7C06,7C06,A,3,3
CSE4255,Mon2.40.7C06,7C06,A,3,3
CSE4226,Tue8.00.7B06,7B06,A,3,1
CSE4227,Tue10.30.7A05,7A05,A,3,2
CSE4225,Tue11.20.7A05,7A05,A,3,2
CSE4203,Tue12.10.7A05,7A05,A,3,2
CSE4228,Wed8.00.7B08,7B08,A,3,1
CSE4227,Wed10.30.7A05,7A05,A,3,2
CSE4203,Wed11.20.7A05,7A05,A,3,2
CSE4225,Wed12.10.7A05,7A05,A,3,2
CSE4204,Thu10.30.7B03,7B03,A,3,2
CSE4214,Sat10.30.7B05,7B05,B,3,2
CSE4255,Sat1.00.7C07,7C07,B,3,3
CSE4213,Sat1.50.7C07,7C07,B,3,3
CSE4213,Sat2.40.7C07,7C07,B,3,3
CSE4213,Sun1.00.7C07,7C07,B,3,3
CSE4227,Sun1.50.7C07,7C07,B,3,3
CSE4255,Mon12.10.7C07,7C07,B,3,2
CSE4255,Mon1.00.7C07,7C07,B,3,3
CSE4203,Mon1.50.7C07,7C07,B,3,3
CSE4225,Mon2.40.7C07,7C07,B,3,3
CSE4203,Tue10.30.7C07,7C07,B,3,2
CSE4227,Tue11.20.7C07,7C07,B,3,2
CSE4225,Tue12.10.7C07,7C07,B,3,2
CSE4228,Tue1.00.7B06,7B06,B,3,3
CSE4226,Wed8.00.7B06,7B06,B,3,1
CSE4225,Wed10.30.7A06,7A06,B,3,2
CSE4227,Wed11.20.7A06,7A06,B,3,2
CSE4203,Wed12.10.7A06,7A06,B,3,2
CSE4204,Thu1.00.7B05,7B05,B,3,3
CSE4101,Sat8.00.7A05,7A05,A,3,1
CSE4129,Sat8.50.7A05,7A05,A,3,1
CSE4107,Sat9.40.7A05,7A05,A,3,1
CSE4101,Sun8.50.7A05,7A05,A,3,1
IPE4111,Sun9.40.7A05,7A05,A,3,1
CSE4130,Sun10.30.7B05,7A05,A,3,2
CSE4102,Sun1.00.7B05,7A05,A,2,3
CSE4125,Tue8.00.7A05,7A05,A,3,1
CSE4129,Tue8.50.7A05,7A05,A,3,1
IPE4111,Tue9.40.7A05,7A05,A,3,1
CSE4102,Tue10.30.7B05,7B05,A,1,2
CSE4108,Tue1.00.7B08,7B08,A,3,3
CSE4101,Wed8.00.7A05,7A05,A,3,1
CSE4125,Wed8.50.7A05,7A05,A,3,1
CSE4125,Wed9.40.7A05,7A05,A,3,1
CSE4129,Thu8.00.7A05,7A05,A,3,1
CSE4107,Thu8.50.7A05,7A05,A,3,1
IPE4111,Thu9.40.7A05,7A05,A,3,1
CSE4107,Thu10.30.7A05,7A05,A,3,2
CSE4126,Thu1.00.7B06,7B06,A,3,3
CSE4107,Sat8.00.7A06,7A06,B,3,1
CSE4101,Sat8.50.7A06,7A06,B,3,1
CSE4129,Sat9.40.7A06,7A06,B,3,1
IPE4111,Sun8.00.7A06,7A06,B,3,1
CSE4107,Sun8.50.7A06,7A06,B,3,1
CSE4101,Sun9.40.7A06,7A06,B,3,1
CSE4102,Sun10.30.7B07,7B07,B,1,2
CSE4126,Sun1.00.7B01,7B01,B,3,3
CSE4108,Mon8.00.7B01,7B01,B,3,1
CSE4107,Mon10.30.7A06,7A06,B,3,2
CSE4129,Mon11.20.7A06,7A06,B,3,2
CSE4125,Mon12.10.7A06,7A06,B,3,2
CSE4125,Wed8.00.7A06,7A06,B,3,1
CSE4101,Wed8.50.7A06,7A06,B,3,1
IPE4111,Wed9.40.7A06,7A06,B,3,1
CSE4102,Wed10.30.7B07,7B07,B,2,2
CSE4130,Wed1.00.7B05,7B05,B,3,3
IPE4111,Thu8.00.7A06,7A06,B,3,1
CSE4129,Thu8.50.7A06,7A06,B,3,1
CSE4125,Thu9.40.7A06,7A06,B,3,1
CSE4101,Sun8.00.7A07,7A07,C,3,1
IPE4111,Sun8.50.7A07,7A07,C,3,1
CSE4107,Sun9.40.7A07,7A07,C,3,1
CSE4126,Sun10.30.7B08,7B08,C,3,2
CSE4125,Mon10.30.7A07,7A07,C,3,2
CSE4107,Mon11.20.7A07,7A07,C,3,2
CSE4129,Mon12.10.7A07,7A07,C,3,2
CSE4102,Mon1.00.7B06,7B06,C,1,3
IPE4111,Tue8.00.7A07,7A07,C,3,1
CSE4125,Tue8.50.7A07,7A07,C,3,1
CSE4129,Tue9.40.7A07,7A07,C,3,1
CSE4108,Tue10.30.7B07,7B07,C,3,2
IPE4111,Wed8.00.7A07,7A07,C,3,1
CSE4101,Wed9.40.7A07,7A07,C,3,1
CSE4130,Wed10.30.7B05,7B05,C,3,2
CSE4102,Thu8.00.7B07,7B07,C,2,1
CSE4129,Thu10.30.7A07,7A07,C,3,2
CSE4125,Thu11.20.7A07,7A07,C,3,2
CSE4101,Thu12.10.7A07,7A07,C,3,2
CSE4107,Thu1.00.7A07,7A07,C,3,3
CSE3223,Sat12.10.7C06,7C06,A,3,2
CSE3213,Sat1.00.7C06,7C06,A,3,3
CSE3215,Sat1.50.7C06,7C06,A,3,3
CSE3211,Sun8.00.7C06,7C06,A,3,1
CSE3211,Sun8.50.7C06,7C06,A,3,1
CSE3213,Sun9.40.7C06,7C06,A,3,1
CSE3200,Sun10.30.7B01,7B01,A,3,2
CSE3214,Mon1.00.7B08,7B08,A,1,3
CSE3211,Tue10.30.7C06,7C06,A,3,2
CSE3215,Tue11.20.7C06,7C06,A,3,2
CSE3223,Tue12.10.7C06,7C06,A,3,2
CSE3214,Wed8.00.7B05,7B05,A,2,1
CSE3224,Wed10.30.7B01,7B01,A,3,2
CSE3223,Wed1.00.7C06,7C06,A,3,3
HUM3207,Wed1.50.7C06,7C06,A,3,3
HUM3207,Wed2.40.7C06,7C06,A,3,3
CSE3216,Thu10.30.7B07,7B07,A,3,2
HUM3207,Thu1.00.7C06,7C06,A,3,3
CSE3213,Thu1.50.7C06,7C06,A,3,3
CSE3215,Thu2.40.7C06,7C06,A,3,3
HUM3207,Sat11.20.7C06,7C06,B,3,2
CSE3223,Sat1.00.7A07,7A07,B,3,3
CSE3213,Sat1.50.7A07,7A07,B,3,3
CSE3215,Sat2.40.7A07,7A07,B,3,3
CSE3211,Sun10.30.7A07,7A07,B,3,2
CSE3213,Sun11.20.7A07,7A07,B,3,2
CSE3223,Sun12.10.7A07,7A07,B,3,2
CSE3224,Mon10.30.7B08,7B08,B,3,2
CSE3211,Tue8.00.7C06,7C06,B,3,1
CSE3211,Tue8.50.7C06,7C06,B,3,1
CSE3215,Tue9.40.7C06,7C06,B,3,1
CSE3200,Tue10.30.7B01,7B01,B,3,2
CSE3214,Wed10.30.7B08,7B08,B,1,2
HUM3207,Wed1.00.7C07,7C07,B,3,3
CSE3223,Wed1.50.7C07,7C07,B,3,3
CSE3216,Thu8.00.7B07,7B07,B,3,1
CSE3214,Thu10.30.7B08,7B08,B,2,2
CSE3213,Thu1.00.7C07,7C07,B,3,3
CSE3215,Thu1.50.7C07,7C07,B,3,3
HUM3207,Thu2.40.7C07,7C07,B,3,3
CSE3100,Sat10.30.7B06,7B06,A,3,2
CSE3108,Sat1.00.7B07,7B07,A,3,3
CSE3101,Sun10.30.7A05,7A05,A,3,2
CSE3109,Sun11.20.7A05,7A05,A,3,2
CSE3110,Sun1.00.9A05,9A05,A,3,3
HUM3115,Mon1.00.7A03,7A03,A,3,3
HUM3115,Mon1.50.7A03,7A03,A,3,3
CSE3103,Mon2.40.7A03,7A03,A,3,3
CSE3104,Tue10.30.7B06,7B06,A,1,2
HUM3115,Tue1.00.7A03,7A03,A,3,3
CSE3107,Tue1.50.7A03,7A03,A,3,3
CSE3107,Tue2.40.7A03,7A03,A,3,3
CSE3101,Wed10.30.7A03,7A03,A,3,2
CSE3109,Wed11.20.7A03,7A03,A,3,2
CSE3103,Wed12.10.7A03,7A03,A,3,2
CSE3104,Thu8.00.7B03,7B03,A,2,1
CSE3109,Thu10.30.7A06,7A06,A,3,2
CSE3101,Thu11.20.7A06,7A06,A,3,2
CSE3103,Thu12.10.7A06,7A06,A,3,2
CSE3107,Thu1.00.7A06,7A06,A,3,3
CSE3108,Sat10.30.7B07,7B07,B,3,2
CSE3100,Sat1.00.7B08,7B08,B,3,3
CSE3103,Sun10.30.7A06,7A06,B,3,2
CSE3101,Sun11.20.7A06,7A06,B,3,2
CSE3109,Sun12.10.7A06,7A06,B,3,2
CSE3109,Mon1.00.7A06,7A06,B,3,3
CSE3103,Mon1.50.7A06,7A06,B,3,3
CSE3101,Mon2.40.7A06,7A06,B,3,3
CSE3107,Tue1.00.7A04,7A04,B,3,3
HUM3115,Tue1.50.7A04,7A04,B,3,3
CSE3104,Wed8.00.7B01,7B01,B,2,1
CSE3103,Wed10.30.7A04,7A04,B,3,2
CSE3101,Wed11.20.7A04,7A04,B,3,2
CSE3109,Wed12.10.7A04,7A04,B,3,2
CSE3110,Wed1.00.9A05,9A05,B,3,3
CSE3107,Thu8.00.7A04,7A04,B,3,1
CSE3107,Thu8.50.7A04,7A04,B,3,1
HUM3115,Thu9.40.7A04,7A04,B,3,1
HUM3115,Thu10.30.7C07,7C07,B,3,2
CSE3100,Sat8.00.7B07,7B07,C,3,1
CSE3103,Sun8.00.7C07,7C07,C,3,1
CSE3103,Sun8.50.7C07,7C07,C,3,1
HUM3115,Sun9.40.7C07,7C07,C,3,1
CSE3104,Sun1.00.7B07,7B07,C,1,3
CSE3104,Mon10.30.7B07,7B07,C,2,2
CSE3101,Mon1.00.7A07,7A07,C,3,3
CSE3109,Mon1.50.7A07,7A07,C,3,3
CSE3109,Mon2.40.7A07,7A07,C,3,3
CSE3107,Tue8.00.7C07,7C07,C,3,1
CSE3107,Tue8.50.7C07,7C07,C,3,1
HUM3115,Tue9.40.7C07,7C07,C,3,1
CSE3108,Wed8.00.7B07,7B07,C,3,1
CSE3107,Wed10.30.7A07,7A07,C,3,2
CSE3103,Wed11.20.7A07,7A07,C,3,2
CSE3101,Wed12.10.7A07,7A07,C,3,2
CSE3110,Thu8.00.9A05,9A05,C,3,1
CSE3101,Thu10.30.7C06,7C06,C,3,2
HUM3115,Thu11.20.7C06,7C06,C,3,2
CSE3109,Thu12.10.7C06,7C06,C,3,2
CSE1108,Sat8.00.7B01,7B01,A,2,1
HUM1107,Sat1.00.7A03,7A03,A,3,3
MATH1115,Sat1.50.7A03,7A03,A,3,3
MATH1115,Sat2.40.7A03,7A03,A,3,3
CSE1101,Sun10.30.7A03,7A03,A,3,2
PHY1115,Sun11.20.7A03,7A03,A,3,2
HUM1107,Sun12.10.7A03,7A03,A,3,2
CSE1102,Sun1.00.7B03,7B03,A,1,3
CSE1101,Mon8.00.7A03,7A03,A,3,1
CHEM1115,Mon8.50.7A03,7A03,A,3,1
CHEM1115,Mon9.40.7A03,7A03,A,3,1
CSE1102,Mon1.00.7B03,7B03,A,2,3
CHEM1115,Tue10.30.7A03,7A03,A,3,2
PHY1115,Tue11.20.7A03,7A03,A,3,2
PHY1115,Tue12.10.7A03,7A03,A,3,2
HUM1107,Wed8.00.7A03,7A03,A,3,1
CSE1101,Wed8.50.7A03,7A03,A,3,1
MATH1115,Wed9.40.7A03,7A03,A,3,1
CSE1108,Thu10.30.7B01,7B01,A,1,2
CSE1101,Sat10.30.7A03,7A03,B,3,2
HUM1107,Sat11.20.7A03,7A03,B,3,2
MATH1115,Sat12.10.7A03,7A03,B,3,2
CSE1108,Sat1.00.7B01,7B01,B,1,3
CHEM1115,Sun10.30.7A04,7A04,B,3,2
CSE1101,Sun11.20.7A04,7A04,B,3,2
PHY1115,Sun12.10.7A04,7A04,B,3,2
CHEM1115,Mon10.30.7A03,7A03,B,3,2
CHEM1115,Mon11.20.7A03,7A03,B,3,2
HUM1107,Mon12.10.7A03,7A03,B,3,2
CSE1102,Tue10.30.7B03,7B03,B,1,2
CSE1102,Tue1.00.7B03,7B03,B,2,3
PHY1115,Wed8.00.7A04,7A04,B,3,1
PHY1115,Wed8.50.7A04,7A04,B,3,1
CSE1101,Wed9.40.7A04,7A04,B,3,1
MATH1115,Thu10.30.7A03,7A03,B,3,2
MATH1115,Thu11.20.7A03,7A03,B,3,2
HUM1107,Thu12.10.7A03,7A03,B,3,2
CSE1108,Thu1.00.7B01,7B01,B,2,3
HUM1107,Sat10.30.7A04,7A04,C,3,2
CSE1101,Sat11.20.7A04,7A04,C,3,2
CHEM1115,Sat12.10.7A04,7A04,C,3,2
CSE1102,Sat1.00.7B03,7B03,C,1,3
PHY1115,Sun8.50.7A03,7A03,C,3,1
CSE1101,Sun9.40.7A03,7A03,C,3,1
HUM1107,Mon8.00.7A04,7A04,C,3,1
HUM1107,Mon8.50.7A04,7A04,C,3,1
CSE1101,Mon9.40.7A04,7A04,C,3,1
CSE1102,Mon10.30.7B03,7B03,C,2,2
CSE1108,Mon1.00.7B01,7B01,C,1,3
MATH1115,Tue10.30.7A04,7A04,C,3,2
MATH1115,Tue11.20.7A04,7A04,C,3,2
CHEM1115,Tue12.10.7A04,7A04,C,3,2
CSE1108,Tue1.00.7B01,7B01,C,2,3
CHEM1115,Thu10.30.7A04,7A04,C,3,2
PHY1115,Thu11.20.7A04,7A04,C,3,2
PHY1115,Thu12.10.7A04,7A04,C,3,2
MATH1115,Thu1.50.7A03,7A03,C,3,3
CSE1206,Sat8.00.7B03,7B03,A,2,1
CSE1203,Sat10.30.7A05,7A05,A,3,2
CSE1205,Sat11.20.7A05,7A05,A,3,2
EEE1241,Sat12.10.7A05,7A05,A,3,2
ME1211,Sun1.00.7A03,7A03,A,3,3
ME1211,Sun1.50.7A03,7A03,A,3,3
MATH1219,Sun2.40.7A03,7A03,A,3,3
CSE1200,Mon10.30.7B05,7B05,A,2,2
CSE1205,Mon1.00.7A04,7A04,A,3,3
CSE1203,Mon1.50.7A04,7A04,A,3,3
MATH1219,Mon2.40.7A04,7A04,A,3,3
CSE1200,Tue8.00.7B05,7B05,A,1,1
ME1211,Tue10.30.7A07,7A07,A,3,2
CSE1203,Tue11.20.7A07,7A07,A,3,2
CSE1205,Tue12.10.7A07,7A07,A,3,2
CSE1206,Wed10.30.7B03,7B03,A,1,2
EEE1241,Wed1.00.7A03,7A03,A,3,3
EEE1241,Wed1.50.7A03,7A03,A,3,3
MATH1219,Wed2.40.7A03,7A03,A,3,3
CSE1200,Sat8.00.7B05,7B05,B,1,1
ME1211,Sat10.30.7A06,7A06,B,3,2
CSE1203,Sat11.20.7A06,7A06,B,3,2
CSE1205,Sat12.10.7A06,7A06,B,3,2
CSE1200,Sun10.30.7B06,7B06,B,2,2
EEE1241,Sun1.00.7A04,7A04,B,3,3
EEE1241,Sun1.50.7A04,7A04,B,3,3
ME1211,Sun2.40.7A04,7A04,B,3,3
MATH1219,Mon1.00.7A05,7A05,B,3,3
CSE1205,Mon1.50.7A05,7A05,B,3,3
CSE1203,Mon2.40.7A05,7A05,B,3,3
CSE1206,Tue8.00.7B03,7B03,B,1,1
CSE1203,Tue10.30.7A06,7A06,B,3,2
CSE1205,Tue11.20.7A06,7A06,B,3,2
ME1211,Tue12.10.7A06,7A06,B,3,2
CSE1206,Tue1.00.7B05,7B05,B,2,3
MATH1219,Wed1.00.7A04,7A04,B,3,3
MATH1219,Wed1.50.7A04,7A04,B,3,3
EEE1241,Wed2.40.7A04,7A04,B,3,3
CSE2100,Sat10.30.7B03,7B03,A,3,2
CSE2106,Sun10.30.9A05,9A05,A,1,2
CSE2103,Sun1.00.7A06,7A06,A,3,3
CSE2105,Sun1.50.7A06,7A06,A,3,3
EEE2141,Sun2.40.7A06,7A06,A,3,3
CSE2104,Mon8.00.7B06,7B06,A,2,1
HUM2109,Mon10.30.7A04,7A04,A,3,2
HUM2109,Mon11.20.7A04,7A04,A,3,2
MATH2101,Mon12.10.7A04,7A04,A,3,2
EEE2141,Tue1.00.7A05,7A05,A,3,3
MATH2101,Tue1.50.7A05,7A05,A,3,3
CSE2103,Wed1.00.7A05,7A05,A,3,3
MATH2101,Wed1.50.7A05,7A05,A,3,3
CSE2105,Wed2.40.7A05,7A05,A,3,3
CSE2104,Thu8.00.7B06,7B06,A,1,1
HUM2109,Thu12.10.7A05,7A05,A,3,2
CSE2103,Thu1.00.7A05,7A05,A,3,3
CSE2105,Thu1.50.7A05,7A05,A,3,3
EEE2141,Thu2.40.7A05,7A05,A,3,3
CSE2104,Sat8.00.7B06,7B06,B,1,1
EEE2141,Sun8.00.7A04,7A04,B,3,1
EEE2141,Sun8.50.7A04,7A04,B,3,1
HUM2109,Sun9.40.7A04,7A04,B,3,1
CSE2100,Sun10.30.7B03,7B03,B,3,2
HUM2109,Mon8.00.7A05,7A05,B,3,1
CSE2103,Mon8.50.7A05,7A05,B,3,1
CSE2105,Mon9.40.7A05,7A05,B,3,1
CSE2106,Mon10.30.9A05,9A05,B,2,2
HUM2109,Tue8.00.7A03,7A03,B,3,1
MATH2101,Tue8.50.7A03,7A03,B,3,1
EEE2141,Tue9.40.7A03,7A03,B,3,1
CSE2106,Wed10.30.9A05,9A05,B,1,2
CSE2105,Wed1.00.7A06,7A06,B,3,3
CSE2103,Wed1.50.7A06,7A06,B,3,3
MATH2101,Wed2.40.7A06,7A06,B,3,3
CSE2104,Thu10.30.7B06,7B06,B,2,2
CSE2105,Thu1.00.7A04,7A04,B,3,3
CSE2103,Thu1.50.7A04,7A04,B,3,3
MATH2101,Thu2.40.7A04,7A04,B,3,3
MATH2101,Sat8.50.7A04,7A04,C,3,1
HUM2109,Sat9.40.7A04,7A04,C,3,1
CSE2104,Sat10.30.7B01,7B01,C,1,2
CSE2100,Sun8.00.7B03,7B03,C,3,1
HUM2109,Sun12.10.7A05,7A05,C,3,2
CSE2103,Sun1.00.7A05,7A05,C,3,3
CSE2105,Sun1.50.7A05,7A05,C,3,3
CSE2105,Sun2.40.7A05,7A05,C,3,3
EEE2141,Mon8.00.7A06,7A06,C,3,1
CSE2103,Mon9.40.7A06,7A06,C,3,1
CSE2104,Mon10.30.7B01,7B01,C,2,2
EEE2141,Tue8.00.7A04,7A04,C,3,1
EEE2141,Tue8.50.7A04,7A04,C,3,1
HUM2109,Tue9.40.7A04,7A04,C,3,1
CSE2106,Tue10.30.9A05,9A05,C,2,2
MATH2101,Wed1.00.7A07,7A07,C,3,3
CSE2105,Wed1.50.7A07,7A07,C,3,3
CSE2103,Wed2.40.7A07,7A07,C,3,3
CSE2106,Thu10.30.9A05,9A05,C,1,2
CSE2201,Sat10.30.7C07,7C07,A,3,2
MATH2203,Sat11.20.7C07,7C07,A,3,2
MATH2203,Sat12.10.7C07,7C07,A,3,2
CSE2208,Sat1.00.7B06,7B06,A,1,3
CSE2210,Sun8.00.9A05,9A05,A,3,1
CSE2207,Sun10.30.7C07,7C07,A,3,2
CSE2213,Sun11.20.7C07,7C07,A,3,2
CSE2201,Sun12.10.7C07,7C07,A,3,2
CSE2202,Sun1.00.7B06,7B06,A,3,3
CSE2207,Mon10.30.7A05,7A05,A,3,2
CSE2213,Mon11.20.7A05,7A05,A,3,2
CSE2201,Mon12.10.7A05,7A05,A,3,2
CSE2214,Mon1.00.7B05,7B05,A,2,3
CSE2208,Tue8.00.7B08,7B08,A,2,1
MATH2203,Tue1.00.7C07,7C07,A,3,3
CSE2209,Tue1.50.7C07,7C07,A,3,3
CSE2209,Tue2.40.7C07,7C07,A,3,3
CSE2207,Wed10.30.7C06,7C06,A,3,2
CSE2213,Wed11.20.7C06,7C06,A,3,2
CSE2209,Wed12.10.7C06,7C06,A,3,2
CSE2200,Thu8.00.7B01,7B01,A,3,1
CSE2214,Thu1.00.7B03,7B03,A,1,3
CSE2208,Sat10.30.7B08,7B08,B,1,2
CSE2201,Sat1.00.7A04,7A04,B,3,3
MATH2203,Sat1.50.7A04,7A04,B,3,3
CSE2208,Sun8.00.7B01,7B01,B,2,1
CSE2201,Sun10.30.7C06,7C06,B,3,2
CSE2207,Sun11.20.7C06,7C06,B,3,2
CSE2213,Sun12.10.7C06,7C06,B,3,2
CSE2200,Sun1.00.7B08,7B08,B,3,3
CSE2201,Mon10.30.7C06,7C06,B,3,2
CSE2207,Mon11.20.7C06,7C06,B,3,2
CSE2213,Mon12.10.7C06,7C06,B,3,2
CSE2209,Mon1.00.7C06,7C06,B,3,3
CSE2209,Wed10.30.7C07,7C07,B,3,2
CSE2207,Wed11.20.7C07,7C07,B,3,2
CSE2213,Wed12.10.7C07,7C07,B,3,2
CSE2214,Wed1.00.7B06,7B06,B,1,3
MATH2203,Thu8.00.7C07,7C07,B,3,1
MATH2203,Thu8.50.7C07,7C07,B,3,1
CSE2209,Thu9.40.7C07,7C07,B,3,1
CSE2214,Thu10.30.7B05,7B05,B,2,2
CSE2210,Thu1.00.9A05,9A05,B,3,3
CSE2202,Thu1.00.9A05,9A05,B,3,3
